+----------------+-----------+--------+--------+---------+
|     [1mLabels     | Precision | Recall | Fscore | Support[0m |
+----------------+-----------+--------+--------+---------+
|      off       |    0.72   |  0.79  |  0.76  |   748   |
|      bed       |    0.43   |  0.76  |  0.55  |   382   |
|       go       |    0.6    |  0.69  |  0.64  |   812   |
|    backward    |    0.52   |  0.81  |  0.63  |   338   |
|      stop      |    0.89   |  0.84  |  0.86  |   786   |
|      bird      |    0.78   |  0.75  |  0.76  |   394   |
|     seven      |    0.91   |  0.83  |  0.87  |   792   |
|       no       |    0.73   |  0.62  |  0.67  |   807   |
|      five      |    0.92   |  0.74  |  0.82  |   797   |
|      tree      |    0.81   |  0.67  |  0.74  |   334   |
|      zero      |    0.96   |  0.84  |  0.9   |   811   |
|     follow     |    0.65   |  0.63  |  0.64  |   328   |
|      yes       |    0.95   |  0.86  |  0.9   |   819   |
|      six       |    0.89   |  0.91  |  0.9   |   790   |
|     learn      |    0.57   |  0.64  |  0.6   |   328   |
|     three      |    0.84   |  0.77  |  0.8   |   726   |
|       up       |    0.42   |  0.78  |  0.55  |   718   |
|      wow       |    0.81   |  0.76  |  0.78  |   399   |
|     house      |    0.91   |  0.84  |  0.88  |   416   |
|      left      |    0.83   |  0.69  |  0.75  |   732   |
|     visual     |    0.59   |  0.85  |  0.7   |   332   |
|      cat       |    0.64   |  0.83  |  0.72  |   375   |
|     eight      |    0.81   |  0.86  |  0.84  |   764   |
|      four      |    0.84   |  0.74  |  0.79  |   720   |
|     happy      |    0.7    |  0.85  |  0.77  |   357   |
|     sheila     |    0.94   |  0.87  |  0.91  |   416   |
|      dog       |    0.87   |  0.61  |  0.71  |   435   |
|      two       |    0.82   |  0.7   |  0.76  |   794   |
|      down      |    0.82   |  0.6   |  0.7   |   777   |
|     marvin     |    0.94   |  0.71  |  0.81  |   385   |
|      one       |    0.87   |  0.77  |  0.82  |   787   |
|      nine      |    0.77   |  0.81  |  0.79  |   800   |
|     right      |    0.95   |  0.77  |  0.85  |   787   |
|    forward     |    0.59   |  0.76  |  0.67  |   314   |
|       on       |    0.77   |  0.73  |  0.75  |   789   |
|                |           |        |        |         |
|                |           |        |        |         |
|     [1m Avg [0m      |    0.77   |  0.76  |  0.76  |  21089  |
| [1m Weighted Avg [0m |    0.79   |  0.76  |  0.77  |  21089  |
|   [1m Accuracy [0m   |           |        | 76.44  |  21089  |
+----------------+-----------+--------+--------+---------+
