+----------------+-----------+--------+--------+---------+
|     [1mLabels     | Precision | Recall | Fscore | Support[0m |
+----------------+-----------+--------+--------+---------+
|      off       |    0.79   |  0.76  |  0.78  |   748   |
|      bed       |    0.53   |  0.7   |  0.6   |   382   |
|       go       |    0.63   |  0.67  |  0.65  |   812   |
|    backward    |    0.57   |  0.78  |  0.66  |   338   |
|      stop      |    0.9    |  0.82  |  0.86  |   786   |
|      bird      |    0.74   |  0.74  |  0.74  |   394   |
|     seven      |    0.92   |  0.79  |  0.85  |   792   |
|       no       |    0.7    |  0.64  |  0.67  |   807   |
|      five      |    0.92   |  0.73  |  0.81  |   797   |
|      tree      |    0.69   |  0.75  |  0.72  |   334   |
|      zero      |    0.96   |  0.79  |  0.87  |   811   |
|     follow     |    0.64   |  0.64  |  0.64  |   328   |
|      yes       |    0.97   |  0.83  |  0.89  |   819   |
|      six       |    0.91   |  0.89  |  0.9   |   790   |
|     learn      |    0.56   |  0.61  |  0.59  |   328   |
|     three      |    0.87   |  0.69  |  0.77  |   726   |
|       up       |    0.4    |  0.8   |  0.54  |   718   |
|      wow       |    0.85   |  0.67  |  0.75  |   399   |
|     house      |    0.82   |  0.86  |  0.84  |   416   |
|      left      |    0.85   |  0.71  |  0.77  |   732   |
|     visual     |    0.68   |  0.87  |  0.76  |   332   |
|      cat       |    0.5    |  0.84  |  0.62  |   375   |
|     eight      |    0.73   |  0.86  |  0.79  |   764   |
|      four      |    0.94   |  0.6   |  0.73  |   720   |
|     happy      |    0.85   |  0.85  |  0.85  |   357   |
|     sheila     |    0.97   |  0.87  |  0.91  |   416   |
|      dog       |    0.64   |  0.74  |  0.69  |   435   |
|      two       |    0.79   |  0.72  |  0.75  |   794   |
|      down      |    0.76   |  0.58  |  0.66  |   777   |
|     marvin     |    0.93   |  0.7   |  0.8   |   385   |
|      one       |    0.91   |  0.7   |  0.79  |   787   |
|      nine      |    0.74   |  0.81  |  0.77  |   800   |
|     right      |    0.91   |  0.81  |  0.86  |   787   |
|    forward     |    0.45   |  0.8   |  0.57  |   314   |
|       on       |    0.71   |  0.77  |  0.74  |   789   |
|                |           |        |        |         |
|                |           |        |        |         |
|     [1m Avg [0m      |    0.76   |  0.75  |  0.75  |  21089  |
| [1m Weighted Avg [0m |    0.79   |  0.75  |  0.76  |  21089  |
|   [1m Accuracy [0m   |           |        | 75.23  |  21089  |
+----------------+-----------+--------+--------+---------+
